mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_forest__max_depth,param_forest__min_impurity_decrease,param_forest__min_samples_leaf,param_forest__n_estimators,param_forest__oob_score,param_forest__random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9983069896697998,0.03273838674574226,0.047232866287231445,0.005079138809986108,5,0.0,5,100,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 5, 'forest__n_estimators': 100, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7185595567867036,0.7069252077562327,0.7157894736842105,0.7128603104212861,0.7134146341463414,0.7135098365589548,0.0038596555279946767,43
2.8356043815612795,0.01430199436757777,0.10927562713623047,0.006181489334622213,5,0.0,5,300,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 5, 'forest__n_estimators': 300, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7307479224376732,0.7041551246537396,0.7130193905817175,0.7156319290465631,0.7117516629711752,0.7150612059381738,0.008723112896037414,38
4.884050989151001,0.1258295536983338,0.1891327381134033,0.021951527894161032,5,0.0,5,500,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 5, 'forest__n_estimators': 500, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7313019390581718,0.7047091412742382,0.7113573407202216,0.7161862527716186,0.7134146341463414,0.7153938615941183,0.00880986836167262,37
0.9532742977142334,0.027548028241883894,0.039226341247558597,0.0017218261922685,5,0.0,10,100,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 10, 'forest__n_estimators': 100, 'forest__oob_score': True, 'forest__random_state': 1153}",0.720775623268698,0.7019390581717452,0.718005540166205,0.7156319290465631,0.7062084257206208,0.7125121152747663,0.007207254093940819,44
2.7839684963226317,0.009450999468375127,0.11167745590209961,0.006283875610660295,5,0.0,10,300,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 10, 'forest__n_estimators': 300, 'forest__oob_score': True, 'forest__random_state': 1153}",0.72797783933518,0.7019390581717452,0.710803324099723,0.717849223946785,0.7117516629711752,0.7140642217049217,0.008612966612344857,40
4.650286245346069,0.02344343375922466,0.1719205856323242,0.005234556894511532,5,0.0,10,500,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 10, 'forest__n_estimators': 500, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7318559556786703,0.7013850415512466,0.7074792243767313,0.7172949002217295,0.7117516629711752,0.7139533569599106,0.010357541731432456,41
0.9472713470458984,0.010601128708765232,0.039226341247558597,0.0017228531984467114,5,0.0,15,100,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 15, 'forest__n_estimators': 100, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7174515235457064,0.696398891966759,0.7091412742382271,0.7167405764966741,0.7039911308203991,0.7087446794135531,0.007936189063641687,47
2.781565618515015,0.015792698615728816,0.10567436218261719,0.003982704510936922,5,0.0,15,300,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 15, 'forest__n_estimators': 300, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7313019390581718,0.703601108033241,0.7074792243767313,0.7184035476718403,0.7111973392461197,0.7143966316772208,0.009761906780958984,39
4.603654289245606,0.048172653653527645,0.17412157058715821,0.004861076368052589,5,0.0,15,500,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 15, 'forest__n_estimators': 500, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7307479224376732,0.7002770083102493,0.7074792243767313,0.7189578713968958,0.7111973392461197,0.7137318731535338,0.010425064581908524,42
0.9458690643310547,0.00850060792508169,0.03982806205749512,0.003190143776694412,5,0.0,25,100,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 25, 'forest__n_estimators': 100, 'forest__oob_score': True, 'forest__random_state': 1153}",0.720775623268698,0.6925207756232687,0.7080332409972299,0.7111973392461197,0.70509977827051,0.7075253514811652,0.009168771459967908,48
2.756147861480713,0.010766919612486566,0.10707488059997558,0.0026858062425855474,5,0.0,25,300,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 25, 'forest__n_estimators': 300, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7268698060941828,0.7013850415512466,0.6997229916897507,0.7128603104212861,0.7084257206208425,0.7098527740754618,0.009746549342649286,46
4.665497064590454,0.08604109700559032,0.17652373313903807,0.005538762949909258,5,0.0,25,500,True,1153,"{'forest__max_depth': 5, 'forest__min_impurity_decrease': 0.0, 'forest__min_samples_leaf': 25, 'forest__n_estimators': 500, 'forest__oob_score': True, 'forest__random_state': 1153}",0.7290858725761773,0.6980609418282548,0.7024930747922438,0.7134146341463414,0.7084257206208425,0.710296048792772,0.01074118639234726,45
