mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10693154335021973,0.012659134063404711,0.005803918838500977,0.0007477812340546529,PCA(n_components=6),0.01,"{'pca': PCA(n_components=6), 'ridge__alpha': 0.01}",0.5163434903047092,0.5257617728531856,0.5202216066481995,0.520509977827051,0.5177383592017738,0.5201150413669838,0.0032226114557509394,13
0.06584835052490234,0.009956163299609777,0.005002117156982422,0.000632865016434587,PCA(n_components=6),0.1,"{'pca': PCA(n_components=6), 'ridge__alpha': 0.1}",0.5163434903047092,0.5257617728531856,0.5202216066481995,0.520509977827051,0.5177383592017738,0.5201150413669838,0.0032226114557509394,13
0.06784906387329101,0.004356472273161677,0.007003068923950195,0.0015505897873064093,PCA(n_components=6),1,"{'pca': PCA(n_components=6), 'ridge__alpha': 1}",0.5163434903047092,0.5257617728531856,0.5202216066481995,0.520509977827051,0.5177383592017738,0.5201150413669838,0.0032226114557509394,13
0.06624746322631836,0.00591434091127422,0.005201482772827148,0.0003989238759486907,PCA(n_components=6),10,"{'pca': PCA(n_components=6), 'ridge__alpha': 10}",0.5174515235457063,0.5257617728531856,0.5202216066481995,0.520509977827051,0.5177383592017738,0.5203366480151832,0.0029849725362211515,11
0.06825089454650879,0.0020420510352695473,0.006402111053466797,0.0013583512463926889,PCA(n_components=6),100,"{'pca': PCA(n_components=6), 'ridge__alpha': 100}",0.5174515235457063,0.5257617728531856,0.5207756232686981,0.520509977827051,0.5182926829268293,0.5205583160842939,0.0028951951515315227,9
0.06804871559143066,0.004942502006339556,0.005202770233154297,0.0009800563697346144,PCA(n_components=7),0.01,"{'pca': PCA(n_components=7), 'ridge__alpha': 0.01}",0.518005540166205,0.5229916897506925,0.5174515235457063,0.5221729490022173,0.5182926829268293,0.5197828770783302,0.0023161924345837344,17
0.06644792556762695,0.0052417883761955815,0.005002641677856445,0.0006317332707928819,PCA(n_components=7),0.1,"{'pca': PCA(n_components=7), 'ridge__alpha': 0.1}",0.518005540166205,0.5229916897506925,0.5174515235457063,0.5221729490022173,0.5182926829268293,0.5197828770783302,0.0023161924345837344,17
0.06864957809448242,0.003933455682405922,0.00580291748046875,0.001166189305154142,PCA(n_components=7),1,"{'pca': PCA(n_components=7), 'ridge__alpha': 1}",0.518005540166205,0.5229916897506925,0.5174515235457063,0.5221729490022173,0.5182926829268293,0.5197828770783302,0.0023161924345837344,17
0.07605566978454589,0.009367016738320013,0.006602191925048828,0.002728757958083018,PCA(n_components=7),10,"{'pca': PCA(n_components=7), 'ridge__alpha': 10}",0.5185595567867036,0.5229916897506925,0.5174515235457063,0.5221729490022173,0.5182926829268293,0.5198936804024299,0.0022405327992984043,16
0.07325358390808105,0.006797511141386896,0.00760498046875,0.0024183165708098323,PCA(n_components=7),100,"{'pca': PCA(n_components=7), 'ridge__alpha': 100}",0.5185595567867036,0.522437673130194,0.5174515235457063,0.5216186252771619,0.5182926829268293,0.519672012333319,0.0019752903081432715,20
0.05544090270996094,0.014524353247525035,0.005803346633911133,0.0011669564177742766,PCA(n_components=8),0.01,"{'pca': PCA(n_components=8), 'ridge__alpha': 0.01}",0.5157894736842106,0.5274238227146815,0.518005540166205,0.5254988913525499,0.5160753880266076,0.5205586231888508,0.004917308847262509,6
0.04783539772033692,0.004310841378392209,0.0064030647277832035,0.0024194216441094313,PCA(n_components=8),0.1,"{'pca': PCA(n_components=8), 'ridge__alpha': 0.1}",0.5157894736842106,0.5274238227146815,0.518005540166205,0.5254988913525499,0.5160753880266076,0.5205586231888508,0.004917308847262509,6
0.0462343692779541,0.0023165214444776324,0.005201959609985351,0.0007482917208166518,PCA(n_components=8),1,"{'pca': PCA(n_components=8), 'ridge__alpha': 1}",0.5157894736842106,0.5274238227146815,0.518005540166205,0.5254988913525499,0.5160753880266076,0.5205586231888508,0.004917308847262509,6
0.05103626251220703,0.003164070041461794,0.006203460693359375,0.0024028783138639186,PCA(n_components=8),10,"{'pca': PCA(n_components=8), 'ridge__alpha': 10}",0.5157894736842106,0.5268698060941829,0.518005540166205,0.5254988913525499,0.5160753880266076,0.5204478198647512,0.004765255706649189,10
0.05324001312255859,0.003062370567972816,0.006001806259155274,0.0015485591540372096,PCA(n_components=8),100,"{'pca': PCA(n_components=8), 'ridge__alpha': 100}",0.5163434903047092,0.5263157894736842,0.5174515235457063,0.5249445676274944,0.5155210643015521,0.5201152870506293,0.004565022465645222,12
0.047233963012695314,0.002483679934756357,0.00480356216430664,0.0004007344584073676,passthrough,0.01,"{'pca': 'passthrough', 'ridge__alpha': 0.01}",0.5401662049861495,0.5490304709141274,0.5429362880886427,0.5532150776053215,0.5460088691796009,0.5462713821547684,0.0045671091741782644,2
0.051036405563354495,0.006667608519115882,0.005202388763427735,0.00039942319703506636,passthrough,0.1,"{'pca': 'passthrough', 'ridge__alpha': 0.1}",0.5401662049861495,0.5490304709141274,0.5429362880886427,0.5532150776053215,0.5460088691796009,0.5462713821547684,0.0045671091741782644,2
0.04443206787109375,0.0028726089590977895,0.006404972076416016,0.0033238209935414673,passthrough,1,"{'pca': 'passthrough', 'ridge__alpha': 1}",0.539612188365651,0.5490304709141274,0.5429362880886427,0.5532150776053215,0.5460088691796009,0.5461605788306687,0.004718108049249275,4
