,round_0,round_1,round_2,round_3,round_4
QDA,0.4990535575102995,0.5258879857476896,0.5548379913149983,0.514419329696025,0.5344616412426233
SVM,0.8362097761941877,0.8371005455962588,0.8375459302972943,0.8395501614519542,0.8319786215343503
Logistic Regression,0.6419107003674424,0.6426901235942546,0.6383476227591582,0.6407972386148536,0.6377908918828639
Ridge Classifier,0.6127380024496158,0.6039416546041644,0.6044983854804588,0.6112905021712505,0.6058345395835653
kNN,0.8774078610399733,0.8827524774523995,0.8817503618750696,0.8769624763389378,0.8815276695245519
Random Forest,0.9626990312882753,0.963812493040864,0.9687117247522548,0.9599153769068033,0.9718294176595034
