mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.7810829162597654,0.1374275334478984,0.7529748916625977,0.011493922147450332,0.01,0.01,"{'svc__C': 0.01, 'svc__gamma': 0.01}",0.46073008849557523,0.4609850581073603,0.46068660022148394,0.46094182825484764,0.4611973392461197,0.4609080841638981,0.00018515659793295544,6
5.727783250808716,0.07094282337962254,0.7551182270050049,0.026619674247877093,0.01,0.1,"{'svc__C': 0.01, 'svc__gamma': 0.1}",0.5199115044247787,0.5235196458218041,0.5282392026578073,0.5235457063711911,0.5232815964523282,0.5236987818383168,0.0026534563564745922,4
7.391028213500976,0.2746229361600474,1.0518810749053955,0.028618475150557116,0.01,1,"{'svc__C': 0.01, 'svc__gamma': 1}",0.41261061946902655,0.4371887105700055,0.4418604651162791,0.42049861495844876,0.43015521064301554,0.42846068660022146,0.010709857152113247,8
7.581355953216553,0.4243397805125907,1.2499924182891846,0.14878000903193447,0.01,10,"{'svc__C': 0.01, 'svc__gamma': 10}",0.3700221238938053,0.38682899833978973,0.39147286821705424,0.37728531855955677,0.37749445676274945,0.3806201550387597,0.0076114290135206545,10
6.551595401763916,0.8315871017674645,0.9352499961853027,0.07989319674318834,0.1,0.01,"{'svc__C': 0.1, 'svc__gamma': 0.01}",0.5331858407079646,0.539568345323741,0.544296788482835,0.5440443213296399,0.5354767184035477,0.5393133997785161,0.004462304450519129,3
7.177819776535034,0.22688205218401494,0.9146677494049072,0.05292826065871413,0.1,0.1,"{'svc__C': 0.1, 'svc__gamma': 0.1}",0.4823008849557522,0.4991698948533481,0.5044296788482835,0.5085872576177285,0.503880266075388,0.49966777408637875,0.009188092032190724,5
8.345845413208007,0.9432717534778043,1.1351634025573731,0.12436543468371267,0.1,1,"{'svc__C': 0.1, 'svc__gamma': 1}",0.3396017699115044,0.36137244050913114,0.36267995570321154,0.3545706371191136,0.3719512195121951,0.3580287929125138,0.010754740521575042,11
6.867836809158325,0.349970429952302,1.0920688152313232,0.11854725706529302,0.1,10,"{'svc__C': 0.1, 'svc__gamma': 10}",0.3379424778761062,0.3337022689540675,0.3338870431893688,0.34681440443213296,0.3420177383592018,0.3388704318936877,0.005007738775822691,14
5.592652797698975,0.13722595760201875,0.8212031841278076,0.04135717499461294,1,0.01,"{'svc__C': 1, 'svc__gamma': 0.01}",0.5707964601769911,0.57387935805202,0.5769656699889258,0.5811634349030471,0.5720620842572062,0.5749723145071982,0.003725441197685299,2
4.595393943786621,0.3409802660951287,0.7247161388397216,0.040001755439088606,1,0.1,"{'svc__C': 1, 'svc__gamma': 0.1}",0.4170353982300885,0.44548976203652463,0.46068660022148394,0.43878116343490303,0.46008869179600886,0.4444075304540421,0.016084205359303345,7
6.962466049194336,0.37280033815602337,1.0271218776702882,0.04993338992225433,1,1,"{'svc__C': 1, 'svc__gamma': 1}",0.3219026548672566,0.33314886552296624,0.3593576965669989,0.34681440443213296,0.3647450110864745,0.3451827242524917,0.01595810622751928,12
6.118393468856811,0.2800753560168629,1.1002677917480468,0.06232805938449194,1,10,"{'svc__C': 1, 'svc__gamma': 10}",0.33185840707964603,0.32429441062534586,0.3117386489479513,0.339612188365651,0.3353658536585366,0.32857142857142857,0.009802098177920222,15
5.068413782119751,0.3102280933750277,0.7863774299621582,0.060897526933917055,10,0.01,"{'svc__C': 10, 'svc__gamma': 0.01}",0.5962389380530974,0.6142778085224129,0.6112956810631229,0.607202216066482,0.6175166297117517,0.6093023255813953,0.007367384453061654,1
3.9933005809783935,0.20063334301350433,0.681767749786377,0.04387301884698083,10,0.1,"{'svc__C': 10, 'svc__gamma': 0.1}",0.3860619469026549,0.4355285002767017,0.43521594684385384,0.4310249307479224,0.44401330376940135,0.4263565891472868,0.020597624553140813,9
6.554039239883423,0.25687743478365055,0.9989629745483398,0.030414662069481124,10,1,"{'svc__C': 10, 'svc__gamma': 1}",0.32079646017699115,0.33314886552296624,0.35437430786268,0.34570637119113573,0.3647450110864745,0.34374307862679954,0.015471897290842664,13
5.742280435562134,0.9941748546203363,0.812384033203125,0.10025260097488138,10,10,"{'svc__C': 10, 'svc__gamma': 10}",0.3301991150442478,0.32429441062534586,0.3089700996677741,0.3362880886426593,0.33592017738359203,0.3271317829457364,0.010082288239217176,16
