mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__degree,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.527075242996216,0.14882813849615598,0.5325459003448486,0.025758366086200742,0.01,2,0.01,"{'svc__C': 0.01, 'svc__degree': 2, 'svc__gamma': 0.01}",0.46073008849557523,0.4609850581073603,0.46068660022148394,0.46094182825484764,0.4611973392461197,0.4609080841638981,0.00018515659793295544,18
5.20189790725708,0.23523959456470986,0.5956872940063477,0.03732075658132172,0.01,2,0.1,"{'svc__C': 0.01, 'svc__degree': 2, 'svc__gamma': 0.1}",0.4850663716814159,0.48810182623132264,0.48006644518272423,0.4825484764542936,0.48059866962305986,0.4832779623477298,0.002983315424758282,12
6.847220993041992,0.2814409943242776,0.5260103702545166,0.03697456522830663,0.01,2,1,"{'svc__C': 0.01, 'svc__degree': 2, 'svc__gamma': 1}",0.5724557522123894,0.5722191477587161,0.5753045404208195,0.571191135734072,0.5643015521064302,0.5710963455149501,0.003659163547513025,8
4.432696104049683,0.2489076177747491,0.5834265232086182,0.06945256225601067,0.01,3,0.01,"{'svc__C': 0.01, 'svc__degree': 3, 'svc__gamma': 0.01}",0.46238938053097345,0.4609850581073603,0.46068660022148394,0.4614958448753463,0.4623059866962306,0.4615725359911406,0.0006843113233581242,16
5.130552530288696,0.13863885536993836,0.5461145401000976,0.054187530868489424,0.01,3,0.1,"{'svc__C': 0.01, 'svc__degree': 3, 'svc__gamma': 0.1}",0.5237831858407079,0.5323741007194245,0.5254706533776301,0.5335180055401662,0.5260532150776053,0.5282392026578073,0.003931243293291853,11
9.820430326461793,0.49964694725935926,0.389022159576416,0.03309638162728625,0.01,3,1,"{'svc__C': 0.01, 'svc__degree': 3, 'svc__gamma': 1}",0.7123893805309734,0.6989485334809076,0.6993355481727574,0.696398891966759,0.7006651884700665,0.7015503875968992,0.005596404225420112,3
4.768215084075928,0.15188300252845777,0.5555589199066162,0.03618418127911365,0.1,2,0.01,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.01}",0.46073008849557523,0.4609850581073603,0.46068660022148394,0.4614958448753463,0.4623059866962306,0.46124031007751937,0.0006053213154633985,17
5.065777921676636,0.15034779968102105,0.526958703994751,0.020536899176381056,0.1,2,0.1,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1}",0.5530973451327433,0.5539568345323741,0.5570321151716501,0.5590027700831025,0.5437915742793792,0.5533776301218162,0.005238033089458727,10
17.345908451080323,2.336136274153596,0.4430215358734131,0.030387576819289046,0.1,2,1,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 1}",0.5962389380530974,0.5976757055893747,0.602436323366556,0.5955678670360111,0.5925720620842572,0.5968992248062015,0.0032303037535657874,6
3.915293741226196,0.06704284314343482,0.5145925998687744,0.014793372023110788,0.1,3,0.01,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.01}",0.46349557522123896,0.46319867183176533,0.46234772978959027,0.46204986149584487,0.4623059866962306,0.4626799557032115,0.0005625047869291279,15
4.933433389663696,0.4374131674907654,0.46593847274780276,0.024789287027602684,0.1,3,0.1,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.1}",0.5929203539823009,0.5954620918649696,0.5825027685492802,0.5911357340720221,0.5776053215077606,0.5879291251384274,0.006751323528822843,7
38.3968065738678,1.7377958393807176,0.3648229598999023,0.017961545648245505,0.1,3,1,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 1}",0.7444690265486725,0.7271721084670725,0.7386489479512736,0.7362880886426593,0.7560975609756098,0.740531561461794,0.00956731880113771,2
4.404964733123779,0.2708333584113734,0.5403409481048584,0.005748310445769695,1,2,0.01,"{'svc__C': 1, 'svc__degree': 2, 'svc__gamma': 0.01}",0.4850663716814159,0.48810182623132264,0.48006644518272423,0.4825484764542936,0.48059866962305986,0.4832779623477298,0.002983315424758282,12
6.618814134597779,0.41680543055587393,0.5115970611572266,0.038908252557256884,1,2,0.1,"{'svc__C': 1, 'svc__degree': 2, 'svc__gamma': 0.1}",0.5724557522123894,0.5722191477587161,0.5753045404208195,0.571191135734072,0.5643015521064302,0.5710963455149501,0.003659163547513025,8
105.72907633781433,8.21555904806152,0.4472200870513916,0.009707809426020775,1,2,1,"{'svc__C': 1, 'svc__degree': 2, 'svc__gamma': 1}",0.6006637168141593,0.6059767570558937,0.6074197120708749,0.6066481994459834,0.6092017738359202,0.6059800664451828,0.0028698962425164625,5
4.772324323654175,0.22606764511040733,0.5970305919647216,0.05606998354803588,1,3,0.01,"{'svc__C': 1, 'svc__degree': 3, 'svc__gamma': 0.01}",0.4657079646017699,0.4643054786939679,0.46566998892580286,0.464819944598338,0.4623059866962306,0.464562569213732,0.0012456825365238376,14
5.353373098373413,0.21222490558428184,0.4441713333129883,0.012219731233091717,1,3,0.1,"{'svc__C': 1, 'svc__degree': 3, 'svc__gamma': 0.1}",0.6493362831858407,0.6436081903707803,0.6323366555924695,0.6398891966759003,0.6324833702882483,0.6395348837209303,0.00654803123750575,4
213.95391602516173,16.737284652206387,0.32543601989746096,0.039772083388762994,1,3,1,"{'svc__C': 1, 'svc__degree': 3, 'svc__gamma': 1}",0.7704646017699115,0.7537354731599336,0.7652270210409745,0.7484764542936289,0.779379157427938,0.7634551495016612,0.011174802665055534,1
